Season,elo_diff_cuted,diff_with_avg_a_m_cuted,diff_with_avg_h_m_cuted,diff_with_avg_a_d_cuted,diff_with_avg_h_d_cuted,diff_with_avg_a_f_cuted,diff_with_avg_h_f_cuted,diff_with_avg_a_g_cuted,diff_with_avg_h_g_cuted,FTR,FTAG,AS,AST,bkm_prediction,B365H,B365A,Elo_Home,Elo_Away,elo_diff,sum_win_last_5_Home,sum_win_last_3_Home,sum_lose_last_3_Home,tackles_h_f,dispossesed_h_m,pen_miss_h_m,pen_won_a_d,passes_a_d,passes_acc_a_d,keyPasses_a_d,score_pos_a_d,diff_with_avg_a_d,passes_acc_a_g,shots_on_goal_a_f,total_crosses_a_f,acc_crosses_a_f,passes_a_f,passes_acc_a_f,score_pos_a_f,score_pos_avg_grouped_date_h_or_a_and_pos_a_f,diff_with_avg_a_f,total_crosses_a_m,big_chance_created_a_m,passes_a_m,passes_acc_a_m,score_pos_a_m,diff_with_avg_a_m,HomeTeam_Ajaccio,HomeTeam_Ajaccio GFCO,HomeTeam_Amiens,HomeTeam_Angers,HomeTeam_Bastia,HomeTeam_Bordeaux,HomeTeam_Brest,HomeTeam_Caen,HomeTeam_Clermont,HomeTeam_Dijon,HomeTeam_Guingamp,HomeTeam_Le Havre,HomeTeam_Lens,HomeTeam_Lille,HomeTeam_Lorient,HomeTeam_Lyon,HomeTeam_Marseille,HomeTeam_Metz,HomeTeam_Monaco,HomeTeam_Montpellier,HomeTeam_Nancy,HomeTeam_Nantes,HomeTeam_Nice,HomeTeam_Nimes,HomeTeam_Paris SG,HomeTeam_Reims,HomeTeam_Rennes,HomeTeam_St Etienne,HomeTeam_Strasbourg,HomeTeam_Toulouse,HomeTeam_Troyes,AwayTeam_Ajaccio,AwayTeam_Ajaccio GFCO,AwayTeam_Amiens,AwayTeam_Angers,AwayTeam_Bastia,AwayTeam_Bordeaux,AwayTeam_Brest,AwayTeam_Caen,AwayTeam_Clermont,AwayTeam_Dijon,AwayTeam_Guingamp,AwayTeam_Le Havre,AwayTeam_Lens,AwayTeam_Lille,AwayTeam_Lorient,AwayTeam_Lyon,AwayTeam_Marseille,AwayTeam_Metz,AwayTeam_Monaco,AwayTeam_Montpellier,AwayTeam_Nancy,AwayTeam_Nantes,AwayTeam_Nice,AwayTeam_Nimes,AwayTeam_Paris SG,AwayTeam_Reims,AwayTeam_Rennes,AwayTeam_St Etienne,AwayTeam_Strasbourg,AwayTeam_Toulouse,AwayTeam_Troyes
0,14,0,6,1,11,6,2,5,7,0,1.6666666666666667,10.0,4.333333333333333,1,1.62,6.5,1783.44140625,1649.0065918,134.43481444999998,4.0,3.0,0.0,0.0,8.0,0.0,0.0,81.0,51.0,0.0,12.45,-7.522222222222222,12.0,2.0,12.0,2.0,81.0,57.0,3.4800000000000004,2.3244444444444445,1.155555555555556,0.0,0.0,116.0,82.0,18.500000000000004,-21.883333333333336,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,8,8,4,6,3,2,10,4,2,1,2.333333333333333,13.0,6.666666666666667,1,2.25,3.5,1575.19165039,1607.16235352,-31.970703129999947,0.0,0.0,3.0,5.0,10.0,0.0,0.0,165.0,123.0,0.0,20.2,0.2277777777777778,16.0,0.0,1.0,0.0,32.0,28.0,1.2800000000000002,2.3244444444444445,-1.0444444444444445,17.0,0.0,269.0,217.0,49.25,8.86666666666666,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
0,2,6,0,7,1,2,4,5,4,2,1.6666666666666667,12.0,6.0,2,3.6,2.15,1570.24230957,1742.61572266,-172.37341309,2.0,1.0,2.0,2.0,5.0,0.0,0.0,183.0,149.0,0.0,21.45,1.477777777777778,15.0,2.0,1.0,0.0,40.0,23.0,1.64,2.3244444444444445,-0.6844444444444444,8.0,0.0,244.0,204.0,44.00000000000001,3.616666666666667,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,13,7,3,9,7,3,4,4,10,1,0.6666666666666666,13.0,3.333333333333333,1,2.2,3.25,1597.70715332,1553.74365234,43.96350098000016,2.0,2.0,0.0,4.0,5.0,0.0,0.0,220.0,180.0,2.0,25.5,5.527777777777779,14.0,3.0,1.0,1.0,34.0,28.0,1.9200000000000004,2.3244444444444445,-0.4044444444444441,9.0,0.0,277.0,215.0,49.05,8.666666666666664,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,8,4,2,8,7,4,8,8,4,0,1.6666666666666667,17.0,5.333333333333333,1,2.5,3.1,1528.52441406,1559.58239746,-31.05798340000001,1.0,1.0,0.0,3.0,6.0,0.0,0.0,190.0,154.0,0.0,23.1,3.12777777777778,22.0,1.0,0.0,0.0,60.0,38.0,2.3600000000000003,2.3244444444444445,0.0355555555555557,4.0,0.0,205.0,160.0,35.25,-5.13333333333334,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
0,3,12,6,5,7,7,1,7,1,0,1.0,9.666666666666666,4.333333333333333,1,2.15,3.6,1568.41516113,1567.56713867,0.848022459999811,2.0,1.0,1.0,1.0,0.0,0.0,0.0,149.0,137.0,0.0,18.9,-1.0722222222222193,9.0,3.0,7.0,2.0,78.0,73.0,4.08,2.3244444444444445,1.7555555555555555,6.0,0.0,335.0,309.0,65.35000000000001,24.96666666666667,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
0,3,1,7,1,11,5,5,4,2,0,0.6666666666666666,10.333333333333334,3.333333333333333,1,1.85,4.75,1586.58789062,1589.66357422,-3.075683600000048,1.0,0.0,1.0,1.0,3.0,0.0,0.0,119.0,77.0,2.0,14.65,-7.549999999999999,13.0,2.0,3.0,0.0,62.0,44.0,2.6,2.085714285714286,0.5142857142857142,7.0,0.0,84.0,62.0,15.75,-14.771428571428576,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,2,6,0,9,2,0,7,10,7,1,2.333333333333333,17.333333333333332,7.666666666666667,2,3.5,2.2,1554.52075195,1697.17297363,-142.6522216799999,2.0,2.0,1.0,4.0,2.0,0.0,0.0,241.0,202.0,1.0,27.100000000000005,4.900000000000006,30.0,0.0,0.0,0.0,11.0,8.0,0.4,2.085714285714286,-1.685714285714286,26.0,0.0,170.0,137.0,32.300000000000004,1.7785714285714285,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,5,7,1,7,11,6,11,3,10,2,1.3333333333333333,10.666666666666666,4.0,2,8.0,1.45,1597.32006836,1875.06408691,-277.74401855,1.0,0.0,3.0,1.0,3.0,0.0,0.0,138.0,123.0,0.0,19.5,1.4928571428571402,7.0,3.0,6.0,2.0,81.0,57.0,3.4800000000000004,2.36,1.1200000000000006,2.0,0.0,177.0,158.0,34.75000000000001,6.257142857142863,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0,9,4,12,8,11,1,5,2,8,2,0.0,8.666666666666666,4.0,1,1.57,7.0,1745.38806152,1579.84655762,165.54150389999995,2.0,2.0,0.0,1.0,3.0,0.0,0.0,211.0,156.0,2.0,20.85,2.8428571428571416,17.0,1.0,1.0,0.0,21.0,15.0,0.92,2.36,-1.44,5.0,0.0,138.0,107.0,24.8,-3.6928571428571466,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
